year_quarter,(PADD 1) Refinery and Blender Net Input of Crude Oil,(PADD 2) Refinery and Blender Net Input of Crude Oil,(PADD 3) Refinery and Blender Net Input of Crude Oil,(PADD 4) Refinery and Blender Net Input of Crude Oil,(PADD 5) Refinery and Blender Net Input of Crude Oil,Total US Refinery Net Input of Crude Oil
2016 quarter_1,1112.25,3523.5,8381.5,561.75,2370.75,13579.0
2016 quarter_2,1132.25,3586.75,8582.75,591.75,2409.5,13893.5
2016 quarter_3,1089.5,3667.5,8482.25,619.75,2393.0,13859.0
2016 quarter_4,1080.5,3671.75,8506.0,608.25,2214.25,13866.5
2017 quarter_1,976.25,3712.25,8498.0,614.25,2352.5,13800.75
2017 quarter_2,1095.0,3847.25,9157.25,631.5,2443.5,14731.0
2017 quarter_3,1105.0,3737.5,8482.5,650.25,2479.5,13975.25
2017 quarter_4,1110.0,3675.0,8898.75,608.25,2401.25,14292.0
2018 quarter_1,1016.5,3746.25,8700.75,618.5,2410.0,14082.0
2018 quarter_2,1133.5,3955.25,9022.25,612.75,2465.75,14723.75
2018 quarter_3,1033.0,3693.5,9198.25,635.75,2535.0,14560.5
2018 quarter_4,997.75,3717.5,9178.25,615.25,2433.0,14508.75
2019 quarter_1,932.75,3671.0,8690.25,603.75,2328.75,13897.75
2019 quarter_2,1009.5,3818.25,8996.25,648.0,2395.5,14472.0
2019 quarter_3,820.5,3932.5,8787.25,640.5,2457.75,14180.75
2019 quarter_4,775.0,3798.75,8747.0,601.0,2374.25,13921.75
2020 quarter_1,655.0,3474.75,8216.0,559.5,2119.0,12905.25
2020 quarter_2,563.5,3230.25,7405.25,528.75,1724.5,11727.75
2020 quarter_3,560.0,3549.5,7297.75,581.0,1887.75,11988.25
2020 quarter_4,587.5,3497.5,7580.0,547.5,1846.25,12212.5
2021 quarter_1,624.0,3499.0,7485.5,556.75,1945.25,12165.25
2021 quarter_2,680.0,3790.5,8510.25,556.5,2161.75,13537.25
2021 quarter_3,673.75,3872.25,8135.25,587.75,2192.0,13269.0
2021 quarter_4,695.75,3844.25,8303.75,573.25,2080.0,13417.0
2022 quarter_1,173.5,978.75,2064.5,147.0,499.0,3363.75
